dom|metric_class|metric|value
twitter.com.|domain_status|clientUpdate|1
twitter.com.|domain_status|serverUpdate|0
twitter.com.|domain_status|clientDelete|1
twitter.com.|domain_status|serverDelete|0
twitter.com.|domain_status|clientTransfer|0
twitter.com.|domain_status|serverTransfer|0
.|ns_diversity|ns_cnt|0
.|ns_diversity|ns_ip_cnt|0
.|ns_diversity|ns_ip_as_cnt|0
.|ns_diversity|ns_ip_country_cnt|0
.|ns_diversity|ns_ip_anycast_cnt|0
.|ttl_metric|ns_ttl|0
.|ttl_metric|ns_ip_ttl|0
com.|ns_diversity|ns_cnt|0
com.|ns_diversity|ns_ip_cnt|0
com.|ns_diversity|ns_ip_as_cnt|0
com.|ns_diversity|ns_ip_country_cnt|0
com.|ns_diversity|ns_ip_anycast_cnt|0
com.|ttl_metric|ns_ttl|0
com.|ttl_metric|ns_ip_ttl|0
twitter.com.|ns_diversity|ns_cnt|0
twitter.com.|ns_diversity|ns_ip_cnt|0
twitter.com.|ns_diversity|ns_ip_as_cnt|0
twitter.com.|ns_diversity|ns_ip_country_cnt|0
twitter.com.|ns_diversity|ns_ip_anycast_cnt|0
twitter.com.|ttl_metric|ns_ttl|0
twitter.com.|ttl_metric|ns_ip_ttl|0
twitter.com.|ttl_metric|mx_ttl|1
twitter.com.|ttl_metric|mx_ip_ttl|1
www.twitter.com.|ttl_metric|cname_ttl|0
www.twitter.com.|ttl_metric|ip_ttl|0
